name,value,unit,note
flow_l_min_pre_stop_median,0.399997,L/min,median pre-stop flow used for Darcy-style equivalent index
pressure_high_psi_pre_stop_median,3325.2019660966666,psi,median pre-stop TC-interval pressure
pressure_low_psi_late_median,29.67123273688552,psi,late low-pressure reference
delta_pressure_mpa,22.721884558691638,MPa,pressure_high minus pressure_low
water_viscosity,0.001,Pa s,assumed water viscosity
path_length_preferred,13.1,m,preferred source-constrained length assumption
path_length_low,12.0,m,source-constrained lower length bound
path_length_high,15.0,m,source-constrained upper length bound
contact_area_preferred,2.41,m2,preferred assumption-labeled contact area
contact_area_low,1.0,m2,assumption-labeled lower area bound
contact_area_high,10.0,m2,assumption-labeled upper area bound
k_eq_preferred,1.5948336402665132e-15,m2,bulk/model-equivalent permeability index
k_eq_low,3.5208083111837835e-16,m2,source-constrained low sensitivity bound
k_eq_high,4.401010388979729e-15,m2,source-constrained high sensitivity bound
thermal_tau,4.194222785984602,h,fitted recovery descriptor
thermal_rmse,0.012533630073704845,deg C,fit residual scale
